,Script,Era
51989," All right, Zoe.  JAMIE ; Over here.   All right, Jamie. ",Classic
146363, Me? ,Classic
70314, Twice that? Twice! ,Classic
131263, I don't think so. ,Classic
16562," Where are those girls, Doctor? Well, we would have seen them if they were upstairs. Hadn't we better take another look down there? ",Classic
74833, Right. ,Classic
43517, What is it you're trying to do? ,Classic
15209," No, I don't think they will. They've had time to do that and they haven't. Lobos is organising a search. ",Classic
109578, What is it that you want? ,Classic
50015," Right, well, I'll talk to her. ",Classic
122743," The Nimons happened. They have destroyed everything, everyone. Everyone but me. ",Classic
39572," Without knowing, you have shown the Daleks what their own strength is. ",Classic
35950, My clothes don't need reviving. ,Classic
117181," And no answers.   We're no closer to finding Astra or whatever it is you're looking for. Well, are we? ",Classic
44044," If you don't like him, why do you work for him? ",Classic
33678, Right.,Classic
27743, What about you? ,Classic
112669, Search sector seven.   What the planet's bane is that?   Search that house. ,Classic
38136," Yes, we have that property. ",Classic
70702, By some kind of giant reptile! ,Classic
31171," He's breathing, and the Tardis seems to be normal. ",Classic
7429, What do you want? ,Classic
117902," I refuse to negotiate in an atmosphere of threat.   No, no, stop! Stop! ",Classic
6878," Yes, or a magnetic field. ",Classic
96039, Because someone is contaminated. ,Classic
128354, The computer holds a complete log of the research. ,Classic
45541," Well, I don't like the idea of the tunnel being blown up if there's anybody else down there. ",Classic
88805," Yes, but it's the situation on Peladon that is stopping you getting the trisilicate. ",Classic
115932," Well, I thought of that, but it's changed shape over two square miles. ",Classic
113423," How soon, Captain, how soon? This waiting is intolerable. We must jump. We must jump! ",Classic
123658," Well, we're all in somebody's history books. ",Classic
49927," Yes, of course. You're the only one who knows what it looks like besides me, and I'm much too busy. Besides, it's your fault that it's lost. ",Classic
24236, What'll happen? ,Classic
6128, What weakness have I that is vulnerable to your thumb? ,Classic
69651, Wilco. ,Classic
156443, Me? No wonder I've lost my memory. ,Classic
135276," I don't understand, Doctor. ",Classic
35787," Blimey, I'll be after a job as a copper when I get back to 1966. ",Classic
90529," No, no! ",Classic
12566," Didius?   Don't forget, you can bid for the woman in Rome if you like.",Classic
83415, We have captured one of the aliens. ,Classic
50576," I can't hear you, Balan. Send Cully and the strangers to the Capital. I'll question them there. ",Classic
146202, I don't have fits. ,Classic
130903," Doctor, I really think we should ",Classic
84338," There isn't one on a higher level. No, hang about, there's that new special storage tank ",Classic
107295, It has been a joy. ,Classic
42186," Well, no broken bones. Hey, look at the snow. ",Classic
146503, What trick? ,Classic
70639, I'm sure Ashe believes you. ,Classic
34794, Polly! Polly! Come on. I'll help you.,Classic
115937," What, to attack us? You mean here in the settlement? ",Classic
23209," Listen, girl. What do they call you? ",Classic
33628," Aye, himself. ",Classic
105278, What is that? ,Classic
101284, Evaded us. And he shot one of my guards. ,Classic
49740, I don't understand them. ,Classic
74979, How much to see you? ,Classic
89941," Sarah, cellar. ",Classic
77388," An Earth type atmosphere on Solos. Nothing more, nothing less. Your friends will be confined to the radiation chamber while you work. I am afraid the radiation is at a dangerously high level at the moment, so you'd better hurry, Doctor.",Classic
98693," What're you doing, Scorby? ",Classic
98559," Yes, that's why I came here. ",Classic
20403,   It is the Trojan Horse. But I thought you ,Classic
107056," Oh, this is the ultimate archaeology, Adam. It was data from here which led me to the excavation sites in Kenya. And when we had excavated the skull and assembled it and Thea had dated it, then the real work of this machine could begin. ",Classic
156869, But that would take it above the danger level. ,Classic
117035," That's funny, I want to see the Marshal. Come on, let's move. ",Classic
99020," Some visitors, Mister Chase. ",Classic
37646," Quick, Jamie, now!   Oh, well done. ",Classic
11663, You. Take all buckets to the clearing section. ,Classic
44871, I decided not to. ,Classic
137549," Hurry, you're destroying me. ",Classic
10003," Norwich! That's England, isn't it? Norfolk. ",Classic
28098," So, spill the beans, sailor. Give us the facts. What's your problems? ",Classic
103826, You came close to ruining my plans. It's fitting I should make you suffer for that. ,Classic
141085," It seems Rassilon possesses it now, and is willing to share it with whoever takes the ring. ",Classic
45643," Don't you see it makes sense, Victoria. If the Yeti are in London, then the Intelligence is here too. ",Classic
106239," Doctor, what's wrong?   Doctor, what was all that? ",Classic
120057," Well, Engineer Doran, in his latest paper on the subject, has proved conclusively that it is part of an ancient building. Perhaps a temple. ",Classic
165610," Come on, Paterson! ",Classic
85759," Master, I heard somebody call Doctor while we were at that fellow's heels. ",Classic
75343, I hope that you're right. ,Classic
23478," No. Bondeaux already has his orders. You may tell the Abbot that also, when you find him. Is that clear? ",Classic
89660," Thank you very much, Doctor. Actually the secret of it is, is to get the water ",Classic
49991," One eighty, one ninety. ",Classic
153861, It's blowing up! ,Classic
140862," Well, as you can see, he was armed and trying to escape. ",Classic
95209, There's no proof. There never has been any actual proof that the monster exists. ,Classic
59705," Yes, sir.   Good, thank you. Ambulance spotted, sir. ",Classic
36893," I've got them, Doc. Two switches. What next?",Classic
148239," For sedition, thought rebellion, and incitement of other rebels to organise, to unionise and to terrorise the workforce of Varos, the vote of the people was for your death to take place by laser obliteration. ",Classic
49121, We'll talk about those later. This could be serious. ,Classic
120453, They're coming! ,Classic
29143, Kewper. ,Classic
107646, Here! ,Classic
5512, It is here. ,Classic
60719," Smythe, 1917 zone. I have recaptured three of the escaped prisoners. ",Classic
64028," No, no. No, it's just a minor technical fault. We'll soon put that right.   There you are. That's fixed it. ",Classic
98389, Doctor. ,Classic
89695," Oh, Doctor, really! ",Classic
78331, An ambulance is on its way. ,Classic
77758, Where would it be then? ,Classic
7978," No, no, no. Something hit me under the heart and it was most unpleasant. It was a good thing I sent you that antidote. Otherwise I might have been in a much worse state than I was.  ",Classic
90733, Stolen? Who by? ,Classic
67816, It's the boy's attitude I can't understand. ,Classic
43042, We need her to draw an intelligent being from the base. ,Classic
148176," The idea for the random laser obliteration, did that come from you? ",Classic
142290, Ha! ,Classic
97491," Correcting three forward. Three forward. Easy, easy. ",Classic
121205, So he's left bald patches on the planets he's visited? ,Classic
4419, Your gift has failed. It is ours because we won the right to keep it in a game of chance. Where is the key? ,Classic
144911, What have you got in this? ,Classic
70630," These are your crop records, I take it? ",Classic
12763, Good man. Come on. ,Classic
28913," Oh, talk on the train, child. ",Classic
35144," It's quite a small unit. We're not equipped to deal with a full scale epidemic, you understand. Do you think you can manage? ",Classic
12682, Ready? ,Classic
95423," Oh yes, I know that. It's just not hearing anything.   Any news? ",Classic
90744, You want me to get you a visitor's pass. ,Classic
54857," Class three one nine six in the first grade. The names of the first selected candidates are, male, Abu-Gond! The second name is female. Vana-Gond! ",Classic
95300, Soon we shall revert to our normal form. ,Classic
123795, What? ,Classic
143034," A geological feature, perhaps. Something beneath the surface it might be dangerous to disturb. ",Classic
88917, He came down here and made a speech. Said we should all cooperate. ,Classic
9354, It's locked!,Classic
63194, Either I come with you or I go straight to the Brigadier. ,Classic
158116, Home. The wife. ,Classic
120523," Liar! The Creature can't talk without.   Guardmaster, take a look! ",Classic
84561," Well, it's quite simple, Jo. We're putting some of the green cells from the maggot's trail with some human body cells. ",Classic
31611, I'm sure you can't. ,Classic
26399," Why should I lie, Mister Clanton? I just want to stop you boys gettin' up against the law over nothin'. ",Classic
52923, No. ,Classic
91089, I do hope you'll include us in your article. We've been sadly misrepresented. ,Classic
75163," Very good, sir. ",Classic
11581," Destroyed? Well I never. Oh, when I went it was beautiful. There was the moving pavements, and the shops, and the astronaut fair I went to and it was in the Chelsea heliport. ",Classic
161841, More? ,Classic
89310, I still need you for a hostage. Come on. ,Classic
97870," We wait. They've got to come out sometime, so we wait. Then we follow, and when he's alone. But not until then, do you understand? ",Classic
95950, But that's way over safety margins. ,Classic
51221," Yes, now you mention it. ",Classic
21031, That is taranium. ,Classic
120562," Shush. Lady Adrasta, they've been gone a long time. ",Classic
165917," Who knows? Where to now, Ace? ",Classic
136105," Tegan, now you must leave your garden. ",Classic
143916," I've told you, I'm from Earth. ",Classic
18932," Look, I told you before. The Doctor's the one who will tell you what you want to know.   May I ask a question also? ",Classic
74461, His ignorance of the law at least deserves consideration. ,Classic
83496, We did it! ,Classic
115496, Indeed he is. It would be as well if you stayed here. I fear he will be in need of the funeral rites very soon after the wedding. ,Classic
147230," Oh, I'm with you, Mister Lytton. ",Classic
37590, Perhaps the Director himself. ,Classic
23992," Oh please, child. ",Classic
82491, How do you know it was the Doctor? ,Classic
71407," Thank you. Right, I will now hear the statement from IMC. Captain Dent, please?",Classic
127260, Turn off your instrument. ,Classic
147894, So you said. And so are we. ,Classic
75981, Thank you. ,Classic
129153," Please, I insist I do my small part. ",Classic
91407," No! Don't hurt him. Let him go. He's not important enough.   Don't shoot. Just leave now. Don't worry about me, just go. ",Classic
101300," So you think there is a real danger, Castellan? ",Classic
21788," It's a pity I blacked out. I mean, if I knew the ratio readings, we could use the same force again to protect us from the Daleks. ",Classic
134642," I think so. There was an explosion. Oh, my head aches. ",Classic
74983," Oh, that's marvellous, innit. Just marvellous. ",Classic
147586," On our home planet, Telos. ",Classic
159577, Will this one be friendly? ,Classic
119823, But they'll find out. They'll x-ray it. ,Classic
18664, How long will it take? ,Classic
16648, It is approaching the planet Mechanus. ,Classic
146149," Yes, Edgeworth. ",Classic
816," It's the only way I can answer you, young man. Now. Now we shall see.   It could be anywhere. Dear, dear, dear, dear. It's no help to us at all. Well, I suggest before we go outside and explore, let us clean ourselves up. ",Classic
125959," Rescue me. Tarak got killed, you got caught, and the Doctor's safely out of it. He can clear off in the Tardis whenever he likes. ",Classic
1026," Yes, indeed. At first light, then? ",Classic
116700, Have you been able to contact the Zeons? ,Classic
70862, Does it matter? ,Classic
25665, Why didn't he make the others do it? ,Classic
99817, But I thought you said just now we were in the fifteenth? ,Classic
141574, Silurian? ,Classic
66618, I will not listen to treason! ,Classic
48435, But we'll never get of the rig without it. ,Classic
73510, Get alternative orders. ,Classic
107057, And that is? ,Classic
154900," My submission concerns a crisis which threatens the lives not only of a group of people confined together with no means of escape, but would, if unresolved, threaten every mortal being on the planet Earth. ",Classic
82263, But ,Classic
100031," Doctor, give me a hand. ",Classic
94302, Try to get a contact. ,Classic
38928, Never mind. ,Classic
153757," Merdeen, you're a pal. Oh, you're both pals. Now show me.",Classic
26935," Oh, yes, I see. Well, I am expected. Do you know who I am? ",Classic
42546," Mmm. Well, that someone isn't going to be you. ",Classic
113665," Well, here we are. Yes. What do you think? Fascinating, eh? ",Classic
127910, The box has gone. ,Classic
28546," After what happened to Dodo, my dear sir, we should never have let those youngsters out of our sight.   That might be Ben now. ",Classic
27397," I shall be honoured to show you my laboratory when I have the time. Well, where is the savage for transference? ",Classic
125346, You just stay here and get back to your sums and I'll go and find them. ,Classic
160933, It's not a recording. I'm broadcasting live. Put down your gun and release Daisy K. ,Classic
3262," No, send him to me. Please. ",Classic
157476," Pex, can I ask you something? ",Classic
106999, He came armed and silent. ,Classic
73385," Let him go. Now then, turn off that machine.",Classic
57477," Jamie, a live terminal!   Oh, well done, Jamie! Oh, goodness me! Jamie, thank you very much. Now then, we must T-Mat ourselves back to Earth.",Classic
164656,. ,Classic
144454, I'll get a job. ,Classic
145086, Get away from the box. ,Classic
109313, Out. ,Classic
100748, Eldrad must live. ,Classic
146414," Same here, but it's everything else as well. This place, what they're forcing us to do, and whatever it is they aim to do with it when we've finished. I feel, well, I don't feel grown up any more. ",Classic
30011, Would they? ,Classic
18741," Ah, yes, thank you. Young man. Young man. ",Classic
55674," Yes, I think so. ",Classic
118429, Keep away. ,Classic
119869," No, to receive and send distress signals. ",Classic
133322," A small one, somewhere. ",Classic
24363, The verdict has been given.   Well? ,Classic
155680," If I am, where does that place you, Professor? ",Classic
64091, No doubt about it. I can see the markings. ,Classic
30313, But there is a similarity. ,Classic
139542, Only in appearance. It's function is that of a massive amplifier. ,Classic
148253," Artificial atmosphere, enclosed, underground, breathable. ",Classic
34248," No, but watch it. The rock's slippery. ",Classic
45742, What are they doing? ,Classic
20942, The men will not be found? ,Classic
165869," He's chosen the time, the place, and the means. ",Classic
59360," Yes, we, er, Ransom and I were er ",Classic
30210, There's another planet out there! ,Classic
149006, I thought that last mad scheme of yours had finished you for good. ,Classic
3670," Yes, he said he'd never been there before. ",Classic
37598," Hey, what's that? ",Classic
92545, Is it? Ow. ,Classic
136842, It could become infected. How did it happen? Why didn't you tell me? ,Classic
113783, No. ,Classic
62797," Listen! Shall I take a look, sir? ",Classic
59043," Well, he's bound to bring Caven and the guards back. ",Classic
126151," Yes, well that might help. ",Classic
110909," He called himself Doctor for many lifespans before he became President, but I have never trusted him. When your good friends the Vardans ",Classic
115090," Never rush your pleasures, my dear Reynart. Besides, I've brought someone to see you. Meet his Royal Highness, Prince Reynart, first in line to the throne of Tara. ",Classic
28361," No, that's the strange thing. Now these are two of the best men in England and I haven't been able to get in touch with them. No one appears to have seen them since last night. Now isn't it an extraordinary thing that two such well known men can vanish so suddenly. ",Classic
164757, I think it's about time we had a proper look at those inscriptions.,Classic
152827, You're absolutely right. We must find out what's going on here.,Classic
24148, Yes. ,Classic
1096, We're not leaving until we've found Barbara. ,Classic
66917," That's it. I only hope it works. Shall we go, Mister Sutton? ",Classic
20207, Troilus? ,Classic
118386, Standard interrogation complete. Report analysis of responses. ,Classic
42217," I'm sorry, I can't hear you. There seems to some interference. ",Classic
89011," Your miners can withstand heat, but they cannot live without air. Eckersley, you will go to the refinery at once and you will turn the ventilation system off. ",Classic
105982, That? Are you suggesting I convert the carbon arc beam? ,Classic
163830, What theories? ,Classic
135164, Are you really going to sleep like that? ,Classic
161114," It will circle ever closer until finally it once again strikes the Earth at the point from which it originally departed, the meadow outside. ",Classic
32575, Exterminate! Ah! Ah! Exterminate!   Out of control! Out of Control! ,Classic
3767, Bandits? ,Classic
100604," No, there's nothing more to say because Eldrad must live. ",Classic
49859," No, not yet. There are still some crew members without. ",Classic
64703, The lift-off rate would crush the astronaut. ,Classic
25136," Well, you never asked, me dear. ",Classic
35915," Oh, you will eat later. Here we revive the weary body. ",Classic
135612," Yes, I'm a friend of the Doctor's. ",Classic
34574," Jamie, quickly, we've got to go and warn the Doctor. ",Classic
40565, You still think you can bargain with the Cybermen? ,Classic
18952, That's right. ,Classic
73867, Release him.,Classic
31057," No, I don't know, child. It is an unknown power. ",Classic
94529," I'm sorry, Doctor. I'm a bit whacked. ",Classic
75334, I've got him under lock and key. ,Classic
55266," Oh, but I'm not a Gond! ",Classic
64138, But will you confirm that all radio contact has been lost with the recovery capsule? ,Classic
126029, What's happening? ,Classic
103353," Oh, thanks. I'd never have thought of that. ",Classic
94073, This? This is the seventy ninth day. ,Classic
96483, Where are we going? ,Classic
123642, Doctor. ,Classic
102511, Particle analysis? ,Classic
22028," And then I will come to you on my camel, and sweep you away across the desert. ",Classic
114232, Pow? ,Classic
60802," It's no good, Russell. We must get away from here.",Classic
105654, What? ,Classic
77204," Come on, Stubbsy. Stubbsy, man? ",Classic
132250, The Empire of Traken. ,Classic
46877, Piccadilly? ,Classic
1628, They're walking into an ambush. ,Classic
85142," Brigadier, if I'm not out of there by three minutes to four, you and the rest of your clod-hopping friends can come in ",Classic
132558," Go and find Charles, my dear. ",Classic
40485, Release the cyber mats. We will use the power of cybernetics.   Activate them. The brain of this humanoid will be their target. Now.   These Cybermats are dormant through lack of use. Inspect them. ,Classic
991, The scanner. ,Classic
78795, But surely you would want to ,Classic
114678, No! The Professor must have let it through. ,Classic
84628," I would advise you not to come back here. If you should be so foolish, you would be received with considerably less courtesy.   And now, Mister Yates, we must make sure you are well looked after during your little stay. Elgin? Show Mister Yates to the visitor's suite, will you? ",Classic
13374," Now, my young man. If this is your idea of revenge for that tie then I think it's a pretty poor effort. ",Classic
38242," Oh yes, Inspector. ",Classic
148262, What is it? ,Classic
109726, More power! ,Classic
132282," Drink it, old boy.   Ah, Ann, my dear. Come and meet the hero of the day, and. ",Classic
127546," Yes, Keeper. The Consuls are confined to their quarters and the residential wing is sealed off. ",Classic
97655, It's intolerable. I won't stand for any more of it. ,Classic
43012," Oh, oh my head.   What are you doing to me? ",Classic
51755," Yes it's. Well, that's funny. There's no reading at all. ",Classic
49418," I didn't dream it, did I? Oh, what's the use of talking. Rudkin's dead. I'd give anything to. Oh, what's the use of talking.",Classic
116526, I'm only asking what must be on all minds. ,Classic
45673," Yes, Staff. ",Classic
43908,"   Must be the way you look, Jamie. ",Classic
102562," Yes, master. ",Classic
63700," I'm being as quick as I can, sir. ",Classic
119870, I was never in distress. ,Classic
74714," Oh, Centauri, stop it. ",Classic
27137, But Doctor. ,Classic
152754, Hey! Don't I get some? ,Classic
5524, Still in the place where it was hidden by the murderer Chesterton. ,Classic
143628, Good luck. ,Classic
44934," Ah, so they're here, are they? ",Classic
51319," Well the Quarks use ultrasound, so presumably it must be a fuel capable of producing a high enough energy quotient to sustain an amplifying complex of considerably sophisticated design. ",Classic
31147," I don't know. When the lights went out, he just seemed to faint.",Classic
44673, Never mind. I just don't like mysteries. Salamander's far too important to lock himself away like this. Anything might happen. A world emergency. Suppose I had to order you to let me in there? ,Classic
16497," I don't know. Ideal place to fight Daleks, you know. Good stout walls, an upper storey, stairs. Daleks don't like stairs. ",Classic
21312, Is your Special Force dealing with Bret Vyon? ,Classic
91201," I don't know exactly what it is, just the kind of thing it has to be. Well, am I right? ",Classic
121551," Mandrel. Doctor, they're called mandrels. ",Classic
155235, Whether his job is to keep unwanted visitors out or ,Classic
19629," Oh Doctor, don't say you're catching a cold now. ",Classic
54604," All right Sergeant, I know. Countdown to begin T minus forty five seconds. ",Classic
148677, She could be anywhere. ,Classic
36217," Well, it's just possible that you've been given a series of orders while you've been asleep. You know, do this, do that, do the other thing. My advice to you is don't do anything of the sort. Don't just be obedient. Always make up your own mind. What am I thinking of? Ben and Jamie! ",Classic
77276, Now deceased? ,Classic
71137, IMC control room.,Classic
152342, You are our prisoner. ,Classic
157748," Not that I would wish to bribe you to hold your tongue in anyway but rules can be made flexible, and it could be arranged for you to move into this flat instead of your own. It is substantially larger. And after all, what's the good of panicking people when I repeat everything is under control. ",Classic
12499, Lets get them back to the camp. ,Classic
42502, Were there others with you? ,Classic
68040," He's right you know, Doctor. I'd better come with you. ",Classic
90039, Wait! There is a stranger here. Guards!,Classic
113192, What's this place? ,Classic
100060," Listen, listen. Listen, there are other considerations besides your uncle and his petty ambitions. ",Classic
15037," Oh? I've always associated extinction with extreme cold. You know, something like the dark side of the moon. Haven't you? ",Classic
131428," You have little choice. You either trust me or give yourselves up to your pursuers, who would probably cudgel you to death.   I don't think they will bother us again. If the lad can walk, my camp is this way. ",Classic
45068, Redhead? Is that your wife? ,Classic
86978, We ought to dispose of him. ,Classic
79927," It is not true. I am Omega, creator of this world! And I can also destroy! Therefore I must exist! ",Classic
50534, Stop it. ,Classic
11120," Tyler, would you consider hanging on here for a short while longer? Just a few days. ",Classic
151448, See that you continue to serve me with the same degree of fidelity. ,Classic
39052, Dispose of the body. Obey! ,Classic
136307, Yes. ,Classic
62228, It was the man who led the raid on the hospital. I recognised him from his photograph. ,Classic
141166, I do. ,Classic
82543," Hello, Jo. ",Classic
53591," When they're safely tucked away, we'll flush out our clever Doctor.",Classic
40779," Hey, now would you look at this. Oh, that's marvellous. What. Hey, what's that? ",Classic
95084," Hey, he's coming round. ",Classic
30893, What's the matter with those range computers? ,Classic
73566," No, it's too late. ",Classic
7488, But you're asking us to trust you. ,Classic
32235, Call him. Get him back here as quickly as possible. We're all in terrible danger! The Examiner was right! Right all the time!   Don't listen to anything she has to say. ,Classic
158607," Kane has paid seventeen crowns for each of you, and he insists on value for money. ",Classic
94380," That was his doing. He beamed his two friends down to Voga. I tried to put the transmat out of action, but he managed to fix it somehow. ",Classic
103045, What's all this for? ,Classic
127336," I cannot accept payment. The honour of the Traken Union is at stake. There is a limit to the power of money, Lady Nyssa. ",Classic
109859, Gallifrey. ,Classic
62741, Right. We'll be ready to go in five minutes. ,Classic
78649," Brothers, silence! Peace! Peace, I say. I shall speak plainly too. You ask for the blessings of the golden years. Yet there came a time when Atlantis grew to hate them. What would you have, Hippias? If you were master of Kronos, lord of time. Ten crops in one season? A surfeit of fishes? An ocean of wine? Then take the barren soil as well, the stinking piles of rotting meat, an idle drunken people. I tell you Kronos was a curse! ",Classic
108460, K-keep your hands wh-where we can see them. ,Classic
77512, Mmm? ,Classic
82026," All right.   Well, this one's empty. ",Classic
36285," You're coming with me, girl. You broke the Colony law.   What's the matter with you? ",Classic
155541," Well, the pulveriser, but why ",Classic
23578, We will give away nothing of our land. ,Classic
155573, I didn't do that! ,Classic
94559," Doctor, we've got about nine minutes. ",Classic
153972, Who else is there? ,Classic
155885, The Key of Rassilon never leaves my possession. ,Classic
28528, I'm very well. I am happy to work for the success of the Machines. ,Classic
51217, Perhaps it is. ,Classic
140307," He's a machine, Doctor, just a machine. How can we be certain he still isn't under the control of the Master? ",Classic
963,   J62. ,Classic
111805, The key. ,Classic
127057, In the courtyard. ,Classic
69754, Check. ,Classic
18575, We cannot escape. ,Classic
115917," Look, sucker marks. Pretty ancient, too, by the way the erosion's ",Classic
101900," If you undo that, you'll die as surely as any of us. ",Classic
144061, Superior? It took you long enough to ensnare the Tardis in the Time Corridor. ,Classic
63602," No, that's not ",Classic
28308," I was just about to pay you, my man. Have you got change of a quid? ",Classic
155401, No. ,Classic
157282, The Kangs. The Red Kangs. ,Classic
56558, Well I can assure you it's not impossible. What is your emergency? What's happening on Moonbase? ,Classic
43726," Now let's have a look at it. You're not, and please don't argue. Victoria? Bring some warm water will you? ",Classic
139795, You assisted in bringing the ship to harbour. ,Classic
44604, All right. ,Classic
126719, It's a matter of complete indifference to me. ,Classic
46358," Yes. And we're the flies, all right, but where is the spider? ",Classic
83754, It's the pit! ,Classic
