"","Character","Script","Script_lemm"
"429","DOCTOR1"," I have no matches. I cannot make fire. I cannot make fire! ","match cannot make fire cannot make fire"
"434","DOCTOR1"," If he dies, there will be no fire. ","dy fire"
"453","DOCTOR1"," We should use our cunning. I hope you can get yourself free, Chesterton. I can't. The stench in here. The stench. I'm sorry. It's all my fault. I'm desperately sorry. ","use cunning hope get free chesterton stench stench sorry fault desperately sorry"
"455","DOCTOR1"," Look at that. Look at it.   ","look look"
"457","DOCTOR1"," Oh, I'm sorry. I'm sorry, it's all my fault. I'm desperately sorry. ","sorry sorry fault desperately sorry"
"459","DOCTOR1"," Look at those. Look at them.   ","look look"
"463","DOCTOR1"," Oh, it's hopeless, hopeless. Even if we do get free, we shall never move that stone. ","hopeless hopeless even get free shall never move stone"
"467","DOCTOR1"," Well you obviously are. ","well obviously"
"471","DOCTOR1"," No, no, don't waste time. Try those bones, they may be. They're sharper, perhaps. ","waste time try bone may sharper perhaps"
"474","DOCTOR1"," We must all take it in turns and try and cut his hands free. ","must take turn try cut hand free"
"476","DOCTOR1"," No, no, we've got to free you first. You're the strongest, and you may have to defend us. ","get free first strongest may defend"
"478","DOCTOR1"," Susan, you have a go. My arms are tired. ","susan arm tire"
"480","DOCTOR1"," And don't think of failing. ","think fail"
"482","DOCTOR1"," Well, try and remember, if you can, how you and the others found your way here. Concentrate on that please. ","well try remember others find way concentrate please"
"484","DOCTOR1"," Fear makes companions of all of us. That's right. ","fear make companion right"
"486","DOCTOR1"," Fear is with all of us, and always will be. Just like that other sensation that lives with it. ","fear always like sensation life"
"488","DOCTOR1"," Your companion referred to it. Hope. Hope, that's right. ","companion refer hope hope right"
"515","DOCTOR1"," Stop. Just a minute, let me get my ","stop minute let get"
"519","DOCTOR1"," I know. I know that. But I must get. Breathe. I must breathe. ","know know must get breathe must breathe"
"521","DOCTOR1"," There's no need for that. Don't be so childish. I'm not senile. Just let me get my breath for a moment. ","need childish senile let get breath moment"
"523","DOCTOR1"," Yes. I'm not so young, you know. ","yes young know"
"532","DOCTOR1"," I'm all right. Don't keep on looking upon me as the weakest link of the party. ","right keep look upon weak link party"
"539","DOCTOR1"," Oh, sheer nonsense, child. Imagination. ","sheer nonsense child imagination"
"545","DOCTOR1"," I'm hot with all this exertion. ","hot exertion"
"550","DOCTOR1"," Do you think I want to? ","think want"
"552","DOCTOR1"," You seem to have elected yourself leader of this little party. ","seem elect leader little party"
"554","DOCTOR1"," Just so long as you understand I won't follow your orders blindly. ","long understand follow order blindly"
"556","DOCTOR1"," Aren't you a tiresome young man! ","tiresome young man"
"558","DOCTOR1"," Oh, sheer imagination. ","sheer imagination"
"560","DOCTOR1"," I won't allow myself to be frightened out of my wits by mere shadows, that's all. ","allow frighten wit mere shadow"
"570","DOCTOR1"," Yes, yes, yes, yes. ","yes yes yes yes"
"574","DOCTOR1"," It must have just been killed. By a larger animal, too. ","must kill large animal"
"584","DOCTOR1"," Susan! You stay here with me. ","susan stay"
"586","DOCTOR1"," Silence! We're going back to the ship. ","silence go back ship"
"588","DOCTOR1"," What are you doing? They must be out of their minds. ","must mind"
"609","DOCTOR1"," What exactly do you think you're doing? ","exactly think"
"612","DOCTOR1"," One minute ago we were trying desperately to get away from these savages. ","one minute ago try desperately get away savage"
"614","DOCTOR1"," I'm not a doctor of medicine. ","doctor medicine"
"616","DOCTOR1"," Oh, don't be ridiculous, child. ","ridiculous child"
"618","DOCTOR1"," You're trying to say that everything you do is reasonable, and everything I do is inhuman. Well, I'm afraid your judgement's at fault, Miss Wright, not mine. Haven't you realised if these two people can follow us, any of these people can follow us? The whole tribe might descend upon us at any moment. ","try say everything reasonable everything inhuman well afraid judgement fault miss wright mine realise two people follow people follow whole tribe might descend upon moment"
"620","DOCTOR1"," And what about the old woman who cut our bonds? You understand?","old woman cut bond understand"
"622","DOCTOR1"," You're not going to take him back to the ship? ","go take back ship"
"625","DOCTOR1"," Do you think so? These people have logic and reason, have they? Can't you see their minds change as rapidly as night and day? She's probably telling the whole tribe at this very moment. ","think people logic reason see mind change rapidly night day probably tell whole tribe moment"
"650","DOCTOR1"," Get your hand off me. ","get hand"
"652","DOCTOR1"," Well, I, I was going to get him to draw our way back to the Tardis. ","well go get draw way back tardis"
"656","DOCTOR1"," You don't expect me to carry him, do you? ","expect carry"
"685","DOCTOR1"," This knife has no blood on it. I said, this knife has no blood on it. ","knife blood say knife blood"
"687","DOCTOR1"," It is a finer knife than yours. ","finer knife"
"689","DOCTOR1"," This knife can cut and stab. I have never seen a better knife. ","knife cut stab never see well knife"
"691","DOCTOR1"," This knife shows what it has done. There is blood on it.   Who killed the old woman? ","knife show do blood kill old woman"
"693","DOCTOR1","   You killed the old woman. ","kill old woman"
"695","DOCTOR1"," Is this your strong leader? One who kills your old women? He is a bad leader. He will kill you all. Yes, all.   Follow my example.   Drive him out. Out. ","strong leader one kill old woman bad leader kill yes follow example drive"
"704","DOCTOR1"," This place is evil. ","place evil"
"734","DOCTOR1"," We are making fire. ","make fire"
"745","DOCTOR1"," Do you understand? We are making fire for you. ","understand making fire"
"751","DOCTOR1"," He is the least important because we can all make fire. ","least important make fire"
"767","DOCTOR1"," Give him a chance. Give him a chance. Let him show the tribe fire, establish himself as leader, then he'll let us go. ","give chance give chance let show tribe fire establish leader let"
"789","DOCTOR1"," When are you going to let us go, hmm? ","go let hmm"
"793","DOCTOR1"," Quench the fire. Take the fire away from them. Scaring them, somehow. ","quench fire take fire away scar somehow"
"803","DOCTOR1"," Yes.   Yes, it's matching up. ","yes yes match"
"807","DOCTOR1"," You know I can't do that. Please be reasonable. ","know please reasonable"
"810","DOCTOR1"," You see, this isn't operating properly. Or rather, the code is still a secret. When you put the right data, precise information to a second of the beginning of a journey, then we can fix a destination, but I had no data at my disposal. ","see operate properly rather code still secret put right data precise information second beginning journey fix destination data disposal"
"812","DOCTOR1"," Well of course I can't. I'm not a miracle worker. ","well course miracle worker"
"815","DOCTOR1"," Well, I got you away from that other time, didn't I? ","well get away time"
"817","DOCTOR1"," It's the only way I can answer you, young man. Now. Now we shall see.   It could be anywhere. Dear, dear, dear, dear. It's no help to us at all. Well, I suggest before we go outside and explore, let us clean ourselves up. ","way answer young man shall see could anywhere dear dear dear dear help well suggest outside explore let clean"
"819","DOCTOR1"," Now what does the radiation read, Susan? ","radiation read susan"
"821","DOCTOR1"," Well, I suggest before we go outside and explore, let us clean ourselves up. ","well suggest outside explore let clean"
"823","DOCTOR1"," Now what does the radiation read, Susan? ","radiation read susan"
"827","DOCTOR1"," The heat must have been indescribable. Look at this soil here. Look at it. It's all turn to sand and ashes. Extraordinary. How can shrubs or trees grow in soil like that, hmm? ","heat must indescribable look soil look turn sand ash extraordinary shrub tree grow soil like hmm"
"834","DOCTOR1"," It's petrified. How fascinating, a petrified jungle. Hm. Extraordinary. Yes, I must really investigate that. Couldn't have been heat, then, and age would merely decay. ","petrified fascinate petrified jungle extraordinary yes must really investigate heat age would merely decay"
"836","DOCTOR1"," I don't know, I don't know, but I intend to find out. ","know know intend find"
"853","DOCTOR1"," Yes, very pretty, very pretty. Hm. ","yes pretty pretty"
"868","DOCTOR1"," Yes, it's certainly alien to anything on your planet. But you're wrong about one thing, Chesterfield. This isn't like everything else. The animal is solidified, certainly, but it's not crumbly stone. It's metal. Yes, it always was. ","yes certainly alien anything planet wrong one thing chesterfield like everything else animal solidify certainly crumbly stone metal yes always"
"870","DOCTOR1"," Why? Can't you imagine an animal unless it's flesh, blood and bone, hmm? No, I tell you this is an entirely different formation. I should say originally it was some pliable metal held together by a magnetic field, or an inner magnetic field, rather, and it may have had the ability to attract it's victims towards it, if they were metal too.","imagine animal unless flesh blood bone hmm tell entirely different formation say originally pliable metal hold together magnetic field inner magnetic field rather may ability attract victim towards metal"
"874","DOCTOR1"," Oh, certain. And you needn't look at me like that, young man. We started this journey far too hurriedly to make any calculations. You know that as well as I do. However, we're alive. ","certain look like young man start journey far hurriedly make calculation know well however alive"
"891","DOCTOR1"," Well now, are we ready? ","well ready"
"893","DOCTOR1"," No, not really, not really. Whatever it was destroyed everything that was living, but the planet is dead, totally dead. ","really really whatever destroyed everything living planet dead totally dead"
"895","DOCTOR1"," What is it, Chesterton? We really must get back to   Most fascinating. ","chesterton really must get back fascinate"
"898","DOCTOR1"," No, no, no sign of life. No, just buildings. Magnificent buildings, I ","sign life building magnificent building"
"901","DOCTOR1"," I don't know, I don't know. Whatever it was destroyed the vegetation here certainly hasn't damaged the city. But there's no sign of life. No movement, no light, no. No, I shall know more about it when I've been down there. ","know know whatever destroyed vegetation certainly damage city sign life movement light shall know"
"903","DOCTOR1"," Now, don't be ridiculous. That city down there is a magnificent subject for study, and I don't intend to leave here until I've thoroughly investigated it. ","ridiculous city magnificent subject study intend leave thoroughly investigate"
"906","DOCTOR1"," Yes, yes, yes, all right then. But I assure you I'm determined to study that place. ","yes yes yes right assure determine study place"
"908","DOCTOR1"," Very well then. I shall look at it myself, alone. ","well shall look alone"
"913","DOCTOR1"," Yes, yes. She's convinced that someone touched her, and I tried to make her see it wasn't possible but I'm afraid she wouldn't listen to me. I wonder, would you have a talk with her? ","yes yes convince someone touch tried make see possible afraid listen wonder would talk"
"915","DOCTOR1"," Yes, you know, sometimes I find the gulf between Susan's age and mine makes difficult understanding between us. ","yes know sometimes find gulf susan age mine make difficult understand"
"917","DOCTOR1"," Oh, would you? Thank you, thank you very much. I'd be grateful.","would thank thank much grateful"
"941","DOCTOR1"," You're quite right, quite right. ","quite right quite right"
"945","DOCTOR1"," My dear boy, these eternal questions of yours. Do I know where we are, I suppose? ","dear boy eternal question know suppose"
"947","DOCTOR1"," You pushed your way into the ship, young man. ","push way ship young man"
"951","DOCTOR1"," A very good idea. I'm hungry.   Oh, what's the matter? ","good idea hungry matter"
"953","DOCTOR1"," Oh, dear, dear, how irksome for you. Oh, this stuff is very good. This should cure it. Now, not too much, dear, not too much. ","dear dear irksome stuff good cure much dear much"
"957","DOCTOR1"," Oh, did you want something to eat? What would you like? ","want something eat would like"
"960","DOCTOR1"," Bacon and eggs. ","bacon egg"
"963","DOCTOR1"," Yes, certainly, certainly. J62. ","yes certainly certainly j62"
"971","DOCTOR1"," Bacon and eggs. ","bacon egg"
"980","DOCTOR1"," Food has component parts, dear boy. Flavours are rather like primary colours, you know, you blend two to achieve a third, a fourth, etc, etc. ","food component part dear boy flavour rather like primary colour know blend two achieve third fourth etc etc"
"984","DOCTOR1"," Susan, would you like something to eat? ","susan would like something eat"
"986","DOCTOR1"," Oh, child, that's unusual. I do hope your affects outside the ship hasn't affected you too much. ","child unusual hope affect outside ship affect much"
"997","DOCTOR1"," Ah, but the city. I must see the city. ","city must see city"
"999","DOCTOR1"," I will not be questioned. Uninvited passengers. I didn't invite them to the ship. I shall do what I want to do. ","question uninvited passenger invite ship shall want"
"1004","DOCTOR1"," I don't know. The power take-up was rising normally and ","know power take rise normally"
"1006","DOCTOR1"," Oh don't distract me, please. ","distract please"
"1008","DOCTOR1"," Yes, I think you'd better, child. ","yes think good child"
"1010","DOCTOR1"," K7? Ah, yes, of course, the fluid link. Yes, yes, yes. Yes.   Yes, there we are, you see. The end of it's unscrewed itself and the fluid has run out. ","yes course fluid link yes yes yes yes yes see end unscrewed fluid run"
"1012","DOCTOR1"," Oh, no, no need for that. This is easily repaired. All we have to do is refill it. ","need easily repair refill"
"1020","DOCTOR1"," No, it hasn't been necessary. This hasn't happened before. ","necessary happen"
"1022","DOCTOR1"," No, no. We shall have to get some from outside. ","shall get outside"
"1025","DOCTOR1"," Yes, the city, of course. Of course we're bound to get some mercury there. Yes, we're bound to. Well, I mean, what else can we do, hmm? ","yes city course course bound get mercury yes bound well mean else hmm"
"1027","DOCTOR1"," Yes, indeed. At first light, then? ","yes indeed first light"
"1029","DOCTOR1"," Oh, quite so, quite so. ","quite quite"
"1031","DOCTOR1"," Yes, by all means. ","yes mean"
"1037","DOCTOR1"," Let me see. ","let see"
"1040","DOCTOR1"," Yes, I'd like to run a few tests on those. Susan, would you take these into the ship, please? ","yes like run test susan would take ship please"
"1042","DOCTOR1"," Thank you. Oh, and by the way, did you remember the food supplies? ","thank way remember food supply"
"1044","DOCTOR1"," Yes, ample, ample. ","yes ample ample"
"1048","DOCTOR1"," Do you mind if I sit down for a minute? I feel a bit exhausted.","mind sit minute feel bit exhausted"
"1050","DOCTOR1"," Yes, I'm just a bit tired. It was a long journey and my legs are rather weak. ","yes bit tired long journey leg rather weak"
"1052","DOCTOR1"," No, no, no, no, I want to look around too. I shall be all right, thank you. ","want look around shall right thank"
"1057","DOCTOR1"," Would you lend me your arm, would you, Susan? Thank you. ","would lend arm would susan thank"
"1070","DOCTOR1"," Quiet, child. Now listen. ","quiet child listen"
"1076","DOCTOR1"," Measuring equipment. But measuring what? Look here. Look at this drum. The ink's still quite wet. ","measure equipment measure look look drum ink still quite wet"
"1078","DOCTOR1"," They're intelligent, anyway. Very intelligent. ","intelligent anyway intelligent"
"1080","DOCTOR1"," Oh, as if that matters. What these instruments tell us is that we're in the midst of a very, very advanced civilised society. ","matter instrument tell midst advanced civilise society"
"1083","DOCTOR1"," Yes, yes, that explains a lot of things, doesn't it. A jungle turned to stone, the barren soil and the fact that we're not feeling well. ","yes yes explain lot thing jungle turn stone barren soil fact feel well"
"1085","DOCTOR1"," Yes, I'm afraid so. The atmosphere here is polluted with a very high level of fallout, and we've been walking around in it completely unprotected. ","yes afraid atmosphere pollute high level fallout walk around completely unprotected"
"1087","DOCTOR1"," A neutron bomb. Yes. It destroys all human tissue, but leaves the buildings and machinery intact. Yes. ","neutron bomb yes destroy human tissue leave building machinery intact yes"
"1089","DOCTOR1"," We need, we need drugs to be treated. ","need need drug treat"
"1093","DOCTOR1"," For the fluid link, yes. Yes, I'm afraid I cheated a little on that. I was determined to see the city, but everybody wanted to go on and, well, to avoid arguments, in short, there's nothing wrong with the fluid link. ","fluid link yes yes afraid cheat little determined see city everybody want well avoid argument short nothing wrong fluid link"
"1096","DOCTOR1"," Abuse me as much as you like, Chesterton. The point is we need an immediate return to the ship, and I suggest we leave at once. ","abuse much like chesterton point need immediate return ship suggest leave"
"1098","DOCTOR1"," Very well. You may stay and search for her if you wish, but Susan and I are going back to the ship. Now, come along, child. ","well may stay search wish susan go back ship come along child"
"1102","DOCTOR1"," Give it to me, I say. ","give say"
"1107","DOCTOR1"," Child, if only you'd think as an adult sometimes. Oh, very well. Let's go then. Let's go. ","child think adult sometimes well let let"
"1138","DOCTOR1"," Well, unless, unless we get treatment, we shall die. Yes, we shall die. ","well unless unless get treatment shall die yes shall die"
"1149","DOCTOR1"," Why? Because we were not aware of it until it was too late, that's why. ","aware late"
"1152","DOCTOR1"," No, no. Thals? What are you talking about? We're not Thals, or whatever you may call them. Can't you see we're very ill. ","thals talk thals whatever may call see ill"
"1154","DOCTOR1"," We have no drugs.   A drug? A drug. The drugs left outside the Tardis. ","drug drug drug drug leave outside tardis"
"1158","DOCTOR1"," My friends and I are travellers. We did find something in the forest near our encampment. They may be the drugs you're referring to. Why not let one of us go and bring the phials here? And under guard, if necessary. ","friend traveller find something forest near encampment may drug refer let one bring phial guard necessary"
"1160","DOCTOR1"," Very well, then. Let one of us go and hold the others until he returns. ","well let one hold others return"
"1162","DOCTOR1"," He will have our lives in his hands. That is enough. ","life hand enough"
"1164","DOCTOR1"," Tell me something about the people, the Thals. ","tell something people thals"
"1168","DOCTOR1"," And knowing that these mutated creatures exist outside the city, you're willing to send one of us in amongst them? ","know mutate creature exist outside city willing send one amongst"
"1183","DOCTOR1"," In a moment, child. The phial of drugs left outside the Tardis, remember? ","moment child phial drug leave outside tardis remember"
"1185","DOCTOR1"," It's possible that they may have been anti-radiation gloves. Drugs. I can't be certain, but it does give us a chance. The people here, whoever they may be, are very eager to get hold of them. ","possible may anti radiation glove drug certain give chance people whoever may eager get hold"
"1191","DOCTOR1"," Whoever goes must be very careful. As far as I can ascertain, the creatures out there are the ones who dropped the box. They're called Thals. They're mutations. ","whoever go must careful far ascertain creature one drop box call thals mutation"
"1193","DOCTOR1"," No. If they were drugs. I've learnt quite a lot from the Daleks. ","drug learn quite lot daleks"
"1195","DOCTOR1"," The Daleks, our captors here. Oh, if I didn't feel so. Oh. But I was right about the neutron bomb. The Daleks built this underground city as a kind of huge shelter. ","daleks captor feel right neutron bomb daleks build underground city kind huge shelter"
"1318","DOCTOR1"," Give me a little while and then we must go back to the ship. ","give little must back ship"
"1320","DOCTOR1"," Oh, are we? Oh, yes. Well, we must leave here soon. We must, must leave. Yes. ","yes well must leave soon must must leave yes"
"1338","DOCTOR1"," I can't understand. Why have they taken Susan? ","understand take susan"
"1402","DOCTOR1"," Perhaps they're going to let us go. I don't know. ","perhaps go let know"
"1406","DOCTOR1"," Or suspect them either. ","suspect either"
"1409","DOCTOR1"," I tell you, the Daleks are brilliant people. I think we ought to cooperate with them. ","tell daleks brilliant people think ought cooperate"
"1411","DOCTOR1"," Take your hands off me. How dare you shout ","take hand dare shout"
"1417","DOCTOR1"," Keep away from me! ","keep away"
"1421","DOCTOR1"," Don't waste time. ","waste time"
"1429","DOCTOR1"," The point is, how do we get out of here? Wait until the Daleks open the door, and force the issue? ","point get wait daleks open door force issue"
"1435","DOCTOR1"," The floors are metal. All the floors are metal. ","floor metal floor metal"
"1439","DOCTOR1"," No, I know you don't know. I mean, why do they use metal? Is it because it lasts longer? Or because ","know know mean use metal last longer"
"1443","DOCTOR1"," No, no, no, now listen. Let's concentrate on the Daleks. Have you noticed, for example, that when they move about there's a sort of acrid smell? ","listen let concentrate daleks notice example move sort acrid smell"
"1447","DOCTOR1"," It's electricity. I think they're powered that way. ","electricity think power way"
"1450","DOCTOR1"," No, no. I believe the Daleks have discovered a way to exploit static electricity. Very ingenious, if I'm right. ","believe daleks discover way exploit static electricity ingenious right"
"1452","DOCTOR1"," Precisely. If I'm right, of course. Now, what do we know apart from guessing how they are powered? ","precisely right course know apart guess power"
"1455","DOCTOR1"," Yes, yes, yes, yes. Now, Chesterton, do you mind concentrating, young man? ","yes yes yes yes chesterton mind concentrate young man"
"1461","DOCTOR1"," And what will it do, young man? Hmm? ","young man hmm"
"1479","DOCTOR1"," Now all of you watch very carefully. See that you notice every detail in that machine, right? ","watch carefully see notice every detail machine right"
"1487","DOCTOR1"," Yes, yes, yes, yes, yes. ","yes yes yes yes yes"
"1491","DOCTOR1"," If he's on time, we have three minutes. ","time three minute"
"1495","DOCTOR1"," Very good. Very good idea. ","good good idea"
"1497","DOCTOR1"," Yes, yes. Not too near the door. We don't want to make him suspicious. ","yes yes near door want make suspicious"
"1499","DOCTOR1"," Yes, yes. Quickly. Good, child. ","yes yes quickly good child"
"1501","DOCTOR1"," Mind your head. ","mind head"
"1508","DOCTOR1"," Well done, Susan. ","well do susan"
"1510","DOCTOR1"," Are you all right, Susan? ","right susan"
"1512","DOCTOR1"," Splendid, splendid. ","splendid splendid"
"1525","DOCTOR1"," Barbara, Susan, give me a hand. Move it down gently.   How is it? ","barbara susan give hand move gently"
"1527","DOCTOR1"," Well, can't you sound more like a Dalek? ","well sound like dalek"
"1537","DOCTOR1"," Don't worry, we'll push you. ","worry push"
"1551","DOCTOR1"," It's up to you now, Chesterton. You have to do as little talking as possible. ","chesterton little talk possible"
"1561","DOCTOR1"," That's fixed the door. ","fix door"
"1567","DOCTOR1"," Here, let me help fix it. ","let help fix"
"1573","DOCTOR1"," Wait a minute. There, it's free. Lift it from the top. ","wait minute free lift top"
"1576","DOCTOR1"," Chesterton, try and force it up from the inside. ","chesterton try force inside"
"1581","DOCTOR1"," They're cutting through the door. ","cut door"
"1583","DOCTOR1"," Yes, but hurry, hurry. ","yes hurry hurry"
"1586","DOCTOR1"," They've magnetised the floor. You feel it? ","magnetised floor feel"
"1588","DOCTOR1"," Yes. Chesterton, we're not able to get you into the lift. ","yes chesterton able get lift"
"1592","DOCTOR1"," Well, come on. He's right. ","well come right"
"1594","DOCTOR1"," When we get to the top, we'll send the lift back down for you. All right? ","get top send lift back right"
"1599","DOCTOR1"," Come on, Susan. ","come susan"
"1604","DOCTOR1"," Oh, maybe ten minutes. If we're lucky, longer. ","maybe ten minute lucky longer"
"1606","DOCTOR1"," Susan, it's no good. We cannot do anything for him now, child. ","susan good cannot anything child"
"1616","DOCTOR1"," Well never mind that now. We must try and find a way out of this room. ","well never mind must try find way room"
"1619","DOCTOR1"," We're right at the top of the building. I can just see the surface of the city. See over there? There's the edge of the petrified jungle. ","right top building see surface city see edge petrify jungle"
"1629","DOCTOR1"," They're walking into an ambush. ","walk ambush"
